"","X.1","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Abstract","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","DOI","X","DOI_2part"
"1918",1918,"J","Goodloe, R; Brown-Gentry, K; Gillani, NB; Jin, HL; Mayo, P; Allen, M; McClellan, B; Boston, J; Sutcliffe, C; Schnetz-Boutaud, N; Dilks, HH; Crawford, DC",NA,NA,NA,"Goodloe, Robert; Brown-Gentry, Kristin; Gillani, Niloufar B.; Jin, Hailing; Mayo, Ping; Allen, Melissa; McClellan, Bob, Jr.; Boston, Jonathan; Sutcliffe, Cara; Schnetz-Boutaud, Nathalie; Dilks, Holli H.; Crawford, Dana C.",NA,"","Lipid trait-associated genetic variation is associated with gallstone disease in the diverse Third National Health and Nutrition Examination Survey (NHANES III)","Background: Gallstone disease is one of the most common digestive disorders, affecting more than 30 million Americans. Previous twin studies suggest a heritability of 25% for gallstone formation. To date, one genome-wide association study (GWAS) has been performed in a population of European-descent. Several candidate gene studies have been performed in various populations, but most have been inconclusive. Given that gallstones consist of up to 80% cholesterol, we hypothesized that common genetic variants associated with high-density lipoprotein cholesterol (HDL-C), low-density lipoprotein cholesterol (LDL-C), and triglycerides (TG) would also be associated with gallstone risk. Methods: To test this hypothesis, the Epidemiologic Architecture for Genes Linked to Environment (EAGLE) study as part of the Population Architecture using Genomics and Epidemiology (PAGE) study performed tests of association between 49 GWAS-identified lipid trait SNPs and gallstone disease in non-Hispanic whites (446 cases and 1,962 controls), non-Hispanic blacks (179 cases and 1,540 controls), and Mexican Americans (227 cases and 1,478 controls) ascertained for the population-based Third National Health and Nutrition Examination Survey (NHANES III). Results: At a liberal significance threshold of 0.05, five, four, and four SNP(s) were associated with disease risk in non-Hispanic whites, non-Hispanic blacks, and Mexican Americans, respectively. No one SNP was associated with gallstone disease risk in all three racial/ethnic groups. The most significant association was observed for ABCG5 rs6756629 in non-Hispanic whites [ odds ratio (OR) = 1.89; 95% confidence interval (CI) = 1.44-2.49; p = 0.0001). ABCG5 rs6756629 is in strong linkage disequilibrium with rs11887534 (D19H), a variant previously associated with gallstone disease risk in populations of European-descent. Conclusions: We replicated a previously associated variant for gallstone disease risk in non-Hispanic whites. Further discovery and fine-mapping efforts in diverse populations are needed to fully describe the genetic architecture of gallstone disease risk in humans.",NA,NA,"NOV 21",2013,14,"",NA,"10.1186/1471-2350-14-120",NA,"1471-2350-14-120"
"1922",1922,"J","Kuchler, EC; Deeley, K; Ho, B; Linkowski, S; Meyer, C; Noel, J; Kouzbari, MZ; Bezamat, M; Granjeiro, JM; Antunes, LS; Antunes, LA; de Abreu, FV; Costa, MC; Tannure, PN; Seymen, F; Koruyucu, M; Patir, A; Mereb, JC; Poletta, FA; Castilla, EE; Orioli, IM; Marazita, ML; Vieira, AR",NA,NA,NA,"Kuechler, Erika C.; Deeley, Kathleen; Ho, Bao; Linkowski, Samantha; Meyer, Chelsea; Noel, Jacqueline; Kouzbari, M. Zahir; Bezamat, Mariana; Granjeiro, Jose M.; Antunes, Leonardo S.; Antunes, Livia Azeredo; de Abreu, Fernanda Volpe; Costa, Marcelo C.; Tannure, Patricia N.; Seymen, Figen; Koruyucu, Mine; Patir, Asli; Mereb, Juan C.; Poletta, Fernando A.; Castilla, Eduardo E.; Orioli, Ieda M.; Marazita, Mary L.; Vieira, Alexandre R.",NA,"","Genetic mapping of high caries experience on human chromosome 13","Background: Our previous genome-wide linkage scan mapped five loci for caries experience. The purpose of this study was to fine map one of these loci, the locus 13q31.1, in order to identify genetic contributors to caries. Methods: Seventy-two pedigrees from the Philippines were studied. Caries experience was recorded and DNA was extracted from blood samples obtained from all subjects. Sixty-one single nucleotide polymorphisms (SNPs) in 13q31.1 were genotyped. Association between caries experience and alleles was tested. We also studied 1,481 DNA samples obtained from saliva of subjects from the USA, 918 children from Brazil, and 275 children from Turkey, in order to follow up the results found in the Filipino families. We used the AliBaba2.1 software to determine if the nucleotide changes of the associated SNPs changed the prediction of the presence of transcription-binding site sequences and we also analyzed the gene expression of the genes selected based on binding predictions. Mutation analysis was also performed in 33 Filipino individuals of a segment of 13q31.1 that is highly conserved in mammals. Results: Statistically significant association with high caries experience was found for 11 markers in 13q31.1 in the Filipino families. Haplotype analysis also confirmed these results. In the populations used for follow-up purposes, associations were found between high caries experience and a subset of these markers. Regarding the prediction of the transcription-binding site, the base change of the SNP rs17074565 was found to change the predicted-binding of genes that could be involved in the pathogenesis of caries. When the sequence has the allele C of rs17074565, the potential transcription factors binding the sequence are GR and GATA1. When the subject carries the G allele of rs17074565, the potential transcription factor predicted to bind to the sequence is GATA3. The expression of GR in whole saliva was higher in individuals with low caries experience when compared to individuals with high caries experience (p = 0.046). No mutations were found in the highly conserved sequence. Conclusions: Genetic factors contributing to caries experience may exist in 13q31.1. The rs17074565 is located in an intergenic region and is predicted to disrupt the binding sites of two different transcription factors that might be involved with caries experience. GR expression in saliva may be a biomarker for caries risk and should be further explored.",NA,NA,"NOV 5",2013,14,"",NA,"10.1186/1471-2350-14-116",NA,"1471-2350-14-116"
"1932",1932,"J","Herrero-Medrano, JM; Megens, HJ; Groenen, MAM; Ramis, G; Bosse, M; Perez-Enciso, M; Crooijmans, RPMA",NA,NA,NA,"Manuel Herrero-Medrano, Juan; Megens, Hendrik-Jan; Groenen, Martien A. M.; Ramis, Guillermo; Bosse, Mirte; Perez-Enciso, Miguel; Crooijmans, Richard P. M. A.",NA,"","Conservation genomic analysis of domestic and wild pig populations from the Iberian Peninsula","Background: Inbreeding is among the major concerns in management of local livestock populations. The effective population size of these populations tends to be small, which enhances the risk of fitness reduction and extinction. High-density SNP data make it possible to undertake novel approaches in conservation genetics of endangered breeds and wild populations. A total of 97 representative samples of domestic and wild pig populations from the Iberian Peninsula, subjected to different levels of threat with extinction, were genotyped with a 60 K SNP panel. Data analyses based on: (i) allele frequency differences; (ii) linkage disequilibrium and (iii) runs of homozygosity were integrated to study population relationships, inbreeding and demographic history. Results: The domestic pigs analyzed belonged to local Spanish and Portuguese breeds: Iberian - including the variants Retinto Iberian, Negro Iberian and Manchado de Jabugo -, Bisaro and Chato Murciano. The population structure and persistence of phase analysis suggested high genetic relations between Iberian variants, with recent crossbreeding of Manchado de Jabugo with other pig populations. Chato Murciano showed a high frequency of long runs of homozygosity indicating recent inbreeding and reflecting the recent bottleneck reported by historical records. The Chato Murciano and the Manchado de Jabugo breeds presented the lowest effective population sizes in accordance with their status of highly inbred breeds. The Iberian wild boar presented a high frequency of short runs of homozygosity indicating past small population size but no signs of recent inbreeding. The Iberian breed showed higher genetic similarities with Iberian wild boar than the other domestic breeds. Conclusions: High-density SNP data provided a consistent overview of population structure, demographic history and inbreeding of minority breeds and wild pig populations from the Iberian Peninsula. Despite the very different background of the populations used, we found a good agreement between the different analyses. Our results are also in agreement with historical reports and provide insight in the events that shaped the current genetic variation of pig populations from the Iberian Peninsula. The results exposed will aid to design and implement strategies for the future management of endangered minority pig breeds and wild populations.",NA,NA,"OCT 30",2013,14,"",NA,"10.1186/1471-2156-14-106",NA,"1471-2156-14-106"
"1933",1933,"J","Bolormaa, S; Pryce, JE; Kemper, KE; Hayes, BJ; Zhang, YD; Tier, B; Barendse, W; Reverter, A; Goddard, ME",NA,NA,NA,"Bolormaa, Sunduimijid; Pryce, Jennie E.; Kemper, Kathryn E.; Hayes, Ben J.; Zhang, Yuandan; Tier, Bruce; Barendse, William; Reverter, Antonio; Goddard, Mike E.",NA,"","Detection of quantitative trait loci in Bos indicus and Bos taurus cattle using genome-wide association studies","Background: The apparent effect of a single nucleotide polymorphism (SNP) on phenotype depends on the linkage disequilibrium (LD) between the SNP and a quantitative trait locus (QTL). However, the phase of LD between a SNP and a QTL may differ between Bos indicus and Bos taurus because they diverged at least one hundred thousand years ago. Here, we test the hypothesis that the apparent effect of a SNP on a quantitative trait depends on whether the SNP allele is inherited from a Bos taurus or Bos indicus ancestor. Methods: Phenotype data on one or more traits and SNP genotype data for 10 181 cattle from Bos taurus, Bos indicus and composite breeds were used. All animals had genotypes for 729 068 SNPs (real or imputed). Chromosome segments were classified as originating from B. indicus or B. taurus on the basis of the haplotype of SNP alleles they contained. Consequently, SNP alleles were classified according to their sub-species origin. Three models were used for the association study: (1) conventional GWAS (genome-wide association study), fitting a single SNP effect regardless of subspecies origin, (2) interaction GWAS, fitting an interaction between SNP and subspecies-origin, and (3) best variable GWAS, fitting the most significant combination of SNP and sub-species origin. Results: Fitting an interaction between SNP and subspecies origin resulted in more significant SNPs (i.e. more power) than a conventional GWAS. Thus, the effect of a SNP depends on the subspecies that the allele originates from. Also, most QTL segregated in only one subspecies, suggesting that many mutations that affect the traits studied occurred after divergence of the subspecies or the mutation became fixed or was lost in one of the subspecies. Conclusions: The results imply that GWAS and genomic selection could gain power by distinguishing SNP alleles based on their subspecies origin, and that only few QTL segregate in both B. indicus and B. taurus cattle. Thus, the QTL that segregate in current populations likely resulted from mutations that occurred in one of the subspecies and can have both positive and negative effects on the traits. There was no evidence that selection has increased the frequency of alleles that increase body weight.",NA,NA,"OCT 29",2013,45,"",NA,"10.1186/1297-9686-45-43",NA,"1297-9686-45-43"
"1939",1939,"J","Cullingham, CI; Cooke, JEK; Coltman, DW",NA,NA,NA,"Cullingham, Catherine I.; Cooke, Janice E. K.; Coltman, David W.",NA,"","Effects of introgression on the genetic population structure of two ecologically and economically important conifer species: lodgepole pine (Pinus contorta var. latifolia) and jack pine (Pinus banksiana)","Forest trees exhibit a remarkable range of adaptations to their environment, but as a result of frequent and long-distance gene flow, populations are often only weakly differentiated. Lodgepole and jack pine hybridize in western Canada, which adds the opportunity for introgression through hybridization to contribute to population structure and (or) adaptive variation. Access to large sample size, high density SNP datasets for these species would improve our ability to resolve population structure, parameterize introgression, and separate the influence of demography from adaptation. To accomplish this, 454 transcriptome reads for lodgepole and jack pine were assembled using Newbler and MIRA, the assemblies mined for SNPs, and 1536 SNPs were selected for typing on lodgepole pine, jack pine, and their hybrids (N = 536). We identified population structure using both Bayesian clustering and discriminate analysis of principle components. Introgressed SNP loci were identified and their influence on observed population structure was assessed. We found that introgressed loci resulted in increased differentiation both within lodgepole and jack pine populations. These findings are timely given the recent mountain pine beetle population expansion in the hybrid zone, and will facilitate future studies of adaptive traits in these ecologically important species.",NA,NA,"OCT",2013,56,"10",NA,"10.1139/gen-2013-0071",NA,"gen-2013-0071"
"1940",1940,"J","Kostem, E; Eskin, E",NA,NA,NA,"Kostem, Emrah; Eskin, Eleazar",NA,"","Efficiently Identifying Significant Associations in Genome-wide Association Studies","Over the past several years, genome-wide association studies (GWAS) have implicated hundreds of genes in common disease. More recently, the GWAS approach has been utilized to identify regions of the genome that harbor variation affecting gene expression or expression quantitative trait loci (eQTLs). Unlike GWAS applied to clinical traits, where only a handful of phenotypes are analyzed per study, in eQTL studies, tens of thousands of gene expression levels are measured, and the GWAS approach is applied to each gene expression level. This leads to computing billions of statistical tests and requires substantial computational resources, particularly when applying novel statistical methods such as mixed models. We introduce a novel two-stage testing procedure that identifies all of the significant associations more efficiently than testing all the single nucleotide polymorphisms (SNPs). In the first stage, a small number of informative SNPs, or proxies, across the genome are tested. Based on their observed associations, our approach locates the regions that may contain significant SNPs and only tests additional SNPs from those regions. We show through simulations and analysis of real GWAS datasets that the proposed two-stage procedure increases the computational speed by a factor of 10. Additionally, efficient implementation of our software increases the computational speed relative to the state-of-the-art testing approaches by a factor of 75.",NA,NA,"OCT 1",2013,20,"10",NA,"10.1089/cmb.2013.0087",NA,"cmb.2013.0087"
"1951",1951,"J","Fesinmeyer, MD; Meigs, JB; North, KE; Schumacher, FR; Buzkova, P; Franceschini, N; Haessler, J; Goodloe, R; Spencer, KL; Voruganti, VS; Howard, BV; Jackson, R; Kolonel, LN; Liu, SM; Manson, JE; Monroe, KR; Mukamal, K; Dilks, HH; Pendergrass, SA; Nato, A; Wan, P; Wilkens, LR; Le Marchand, L; Ambite, JL; Buyske, S; Florez, JC; Crawford, DC; Hindorff, LA; Haiman, CA; Peters, U; Pankow, JS",NA,NA,NA,"Fesinmeyer, Megan D.; Meigs, James B.; North, Kari E.; Schumacher, Fredrick R.; Buzkova, Petra; Franceschini, Nora; Haessler, Jeffrey; Goodloe, Robert; Spencer, Kylee L.; Voruganti, Venkata Saroja; Howard, Barbara V.; Jackson, Rebecca; Kolonel, Laurence N.; Liu, Simin; Manson, JoAnn E.; Monroe, Kristine R.; Mukamal, Kenneth; Dilks, Holli H.; Pendergrass, Sarah A.; Nato, Andrew; Wan, Peggy; Wilkens, Lynne R.; Le Marchand, Loic; Ambite, Jose Luis; Buyske, Steven; Florez, Jose C.; Crawford, Dana C.; Hindorff, Lucia A.; Haiman, Christopher A.; Peters, Ulrike; Pankow, James S.",NA,"","Genetic variants associated with fasting glucose and insulin concentrations in an ethnically diverse population: results from the Population Architecture using Genomics and Epidemiology (PAGE) study","Background: Multiple genome-wide association studies (GWAS) within European populations have implicated common genetic variants associated with insulin and glucose concentrations. In contrast, few studies have been conducted within minority groups, which carry the highest burden of impaired glucose homeostasis and type 2 diabetes in the U. S. Methods: As part of the 'Population Architecture using Genomics and Epidemiology (PAGE) Consortium, we investigated the association of up to 10 GWAS-identified single nucleotide polymorphisms (SNPs) in 8 genetic regions with glucose or insulin concentrations in up to 36,579 non-diabetic subjects including 23,323 European Americans (EA) and 7,526 African Americans (AA), 3,140 Hispanics, 1,779 American Indians (AI), and 811 Asians. We estimated the association between each SNP and fasting glucose or log-transformed fasting insulin, followed by meta-analysis to combine results across PAGE sites. Results: Overall, our results show that 9/9 GWAS SNPs are associated with glucose in EA (p = 0.04 to 9 x 10(-15)), versus 3/9 in AA (p=0.03 to 6 x 10(-5)), 3/4 SNPs in Hispanics, 2/4 SNPs in AI, and 1/2 SNPs in Asians. For insulin we observed a significant association with rs780094/GCKR in EA, Hispanics and AI only. Conclusions: Generalization of results across multiple racial/ethnic groups helps confirm the relevance of some of these loci for glucose and insulin metabolism. Lack of association in non-EA groups may be due to insufficient power, or to unique patterns of linkage disequilibrium.",NA,NA,"SEP 25",2013,14,"",NA,"10.1186/1471-2350-14-98",NA,"1471-2350-14-98"
"1978",1978,"J","Hale, MC; Thrower, FP; Berntson, EA; Miller, MR; Nichols, KM",NA,NA,NA,"Hale, Matthew C.; Thrower, Frank P.; Berntson, Ewann A.; Miller, Michael R.; Nichols, Krista M.",NA,"","Evaluating Adaptive Divergence Between Migratory and Nonmigratory Ecotypes of a Salmonid Fish, Oncorhynchus mykiss","Next-generation sequencing and the application of population genomic and association approaches have made it possible to detect selection and unravel the genetic basis to variable phenotypic traits. The use of these two approaches in parallel is especially attractive in nonmodel organisms that lack a sequenced and annotated genome, but only works well when population structure is not confounded with the phenotype of interest. Herein, we use population genomics in a nonmodel fish species, rainbow trout (Oncorhynchus mykiss), to better understand adaptive divergence between migratory and nonmigratory ecotypes and to further our understanding about the genetic basis of migration. Restriction site-associated DNA (RAD) tag sequencing was used to identify single-nucleotide polymorphisms (SNPs) in migrant and resident O. mykiss from two systems, one in Alaska and the other in Oregon. A total of 7920 and 6755 SNPs met filtering criteria in the Alaska and Oregon data sets, respectively. Population genetic tests determined that 1423 SNPs were candidates for selection when loci were compared between resident and migrant samples. Previous linkage mapping studies that used RAD DNA tag SNPs were available to determine the position of 1990 markers. Several significant SNPs are located in genome regions that contain quantitative trait loci for migratory-related traits, reinforcing the importance of these regions in the genetic basis of migration/residency. Annotation of genome regions linked to significant SNPs revealed genes involved in processes known to be important in migration (such as osmoregulatory function). This study adds to our growing knowledge on adaptive divergence between migratory and nonmigratory ecotypes of this species; across studies, this complex trait appears to be controlled by many loci of small effect, with some in common, but many loci not shared between populations studied.",NA,NA,"AUG 1",2013,3,"8",NA,"10.1534/g3.113.006817",NA,"g3.113.006817"
"1980",1980,"J","Wojczynski, MK; Li, MY; Bielak, LF; Kerr, KF; Reiner, AP; Wong, ND; Yanek, LR; Qu, LM; White, CC; Lange, LA; Ferguson, JF; He, J; Young, T; Mosley, TH; Smith, JA; Kral, BG; Guo, XQ; Wong, Q; Ganesh, SK; Heckbert, SR; Griswold, ME; O'Leary, DH; Budoff, M; Carr, JJ; Taylor, HA; Bluemke, DA; Demissie, S; Hwang, SJ; Paltoo, DN; Polak, JF; Psaty, BM; Becker, DM; Province, MA; Post, WS; O'Donnell, CJ; Wilson, JG; Harris, TB; Kavousi, M; Cupples, LA; Rotter, JI; Fornage, M; Becker, LC; Peyser, PA; Borecki, IB; Reilly, MP",NA,NA,NA,"Wojczynski, Mary K.; Li, Mingyao; Bielak, Lawrence F.; Kerr, Kathleen F.; Reiner, Alex P.; Wong, Nathan D.; Yanek, Lisa R.; Qu, Liming; White, Charles C.; Lange, Leslie A.; Ferguson, Jane F.; He, Jing; Young, Taylor; Mosley, Thomas H.; Smith, Jennifer A.; Kral, Brian G.; Guo, Xiuqing; Wong, Quenna; Ganesh, Santhi K.; Heckbert, Susan R.; Griswold, Michael E.; O'Leary, Daniel H.; Budoff, Matthew; Carr, J. Jeffrey; Taylor, Herman A., Jr.; Bluemke, David A.; Demissie, Serkalem; Hwang, Shih-Jen; Paltoo, Dina N.; Polak, Joseph F.; Psaty, Bruce M.; Becker, Diane M.; Province, Michael A.; Post, Wendy S.; O'Donnell, Christopher J.; Wilson, James G.; Harris, Tamara B.; Kavousi, Maryam; Cupples, L. Adrienne; Rotter, Jerome I.; Fornage, Myriam; Becker, Lewis C.; Peyser, Patricia A.; Borecki, Ingrid B.; Reilly, Muredach P.",NA,"","Genetics of coronary artery calcification among African Americans, a meta-analysis","Background: Coronary heart disease (CHD) is the major cause of death in the United States. Coronary artery calcification (CAC) scores are independent predictors of CHD. African Americans (AA) have higher rates of CHD but are less well-studied in genomic studies. We assembled the largest AA data resource currently available with measured CAC to identify associated genetic variants. Methods: We analyzed log transformed CAC quantity (ln(CAC + 1)), for association with similar to 2.5 million single nucleotide polymorphisms (SNPs) and performed an inverse-variance weighted meta-analysis on results for 5,823 AA from 8 studies. Heritability was calculated using family studies. The most significant SNPs among AAs were evaluated in European Ancestry (EA) CAC data; conversely, the significance of published SNPs for CAC/CHD in EA was queried within our AA meta-analysis. Results: Heritability of CAC was lower in AA (similar to 30%) than previously reported for EA (similar to 50%). No SNP reached genome wide significance (p < 5E-08). Of 67 SNPs with p < 1E-05 in AA there was no evidence of association in EA CAC data. Four SNPs in regions previously implicated in CAC/CHD (at 9p21 and PHACTR1) in EA reached nominal significance for CAC in AA, with concordant direction. Among AA, rs16905644 (p = 4.08E-05) had the strongest association in the 9p21 region. Conclusions: While we observed substantial heritability for CAC in AA, we failed to identify loci for CAC at genome-wide significant levels despite having adequate power to detect alleles with moderate to large effects. Although suggestive signals in AA were apparent at 9p21 and additional CAC and CAD EA loci, overall the data suggest that even larger samples and an ethnic specific focus will be required for GWAS discoveries for CAC in AA populations.",NA,NA,"JUL 19",2013,14,"",NA,"10.1186/1471-2350-14-75",NA,"1471-2350-14-75"
"1990",1990,"J","Bolormaa, S; Pryce, JE; Kemper, K; Savin, K; Hayes, BJ; Barendse, W; Zhang, Y; Reich, CM; Mason, BA; Bunch, RJ; Harrison, BE; Reverter, A; Herd, RM; Tier, B; Graser, HU; Goddard, ME",NA,NA,NA,"Bolormaa, S.; Pryce, J. E.; Kemper, K.; Savin, K.; Hayes, B. J.; Barendse, W.; Zhang, Y.; Reich, C. M.; Mason, B. A.; Bunch, R. J.; Harrison, B. E.; Reverter, A.; Herd, R. M.; Tier, B.; Graser, H. -U.; Goddard, M. E.",NA,"","Accuracy of prediction of genomic breeding values for residual feed intake and carcass and meat quality traits in Bos taurus, Bos indicus, and composite beef cattle","The aim of this study was to assess the accuracy of genomic predictions for 19 traits including feed efficiency, growth, and carcass and meat quality traits in beef cattle. The 10,181 cattle in our study had real or imputed genotypes for 729,068 SNP although not all cattle were measured for all traits. Animals included Bos taurus, Brahman, composite, and crossbred animals. Genomic EBV (GEBV) were calculated using 2 methods of genomic prediction [BayesR and genomic BLUP (GBLUP)] either using a common training dataset for all breeds or using a training dataset comprising only animals of the same breed. Accuracies of GEBV were assessed using 5-fold cross-validation. The accuracy of genomic prediction varied by trait and by method. Traits with a large number of recorded and genotyped animals and with high heritability gave the greatest accuracy of GEBV. Using GBLUP, the average accuracy was 0.27 across traits and breeds, but the accuracies between breeds and between traits varied widely. When the training population was restricted to animals from the same breed as the validation population, GBLUP accuracies declined by an average of 0.04. The greatest decline in accuracy was found for the 4 composite breeds. The BayesR accuracies were greater by an average of 0.03 than GBLUP accuracies, particularly for traits with known genes of moderate to large effect mutations segregating. The accuracies of 0.43 to 0.48 for IGF-I traits were among the greatest in the study. Although accuracies are low compared with those observed in dairy cattle, genomic selection would still be beneficial for traits that are hard to improve by conventional selection, such as tenderness and residual feed intake. BayesR identified many of the same quantitative trait loci as a genomewide association study but appeared to map them more precisely. All traits appear to be highly polygenic with thousands of SNP independently associated with each trait.",NA,NA,"JUL",2013,91,"7",NA,"10.2527/jas.2012-5827",NA,"jas.2012-5827"
"1993",1993,"J","Chopra, R; Ali, S; Srivastava, AK; Aggarwal, S; Kumar, B; Manvati, S; Kalaiarasan, P; Jena, M; Garg, VK; Bhattacharya, SN; Bamezai, RNK",NA,NA,NA,"Chopra, Rupali; Ali, Shafat; Srivastava, Amit K.; Aggarwal, Shweta; Kumar, Bhupender; Manvati, Siddharth; Kalaiarasan, Ponnusamy; Jena, Mamta; Garg, Vijay K.; Bhattacharya, Sambit N.; Bamezai, Rameshwar N. K.",NA,"","Mapping of PARK2 and PACRG Overlapping Regulatory Region Reveals LD Structure and Functional Variants in Association with Leprosy in Unrelated Indian Population Groups","Leprosy is a chronic infectious disease caused by Mycobacterium Leprae, where the host genetic background plays an important role toward the disease pathogenesis. Various studies have identified a number of human genes in association with leprosy or its clinical forms. However, non-replication of results has hinted at the heterogeneity among associations between different population groups, which could be due to differently evolved LD structures and differential frequencies of SNPs within the studied regions of the genome. A need for systematic and saturated mapping of the associated regions with the disease is warranted to unravel the observed heterogeneity in different populations. Mapping of the PARK2 and PACRG gene regulatory region with 96 SNPs, with a resolution of 1 SNP per 1 Kb for PARK2 gene regulatory region in a North Indian population, showed an involvement of 11 SNPs in determining the susceptibility towards leprosy. The association was replicated in a geographically distinct and unrelated population from Orissa in eastern India. In vitro reporter assays revealed that the two significantly associated SNPs, located 63.8 kb upstream of PARK2 gene and represented in a single BIN of 8 SNPs, influenced the gene expression. A comparison of BINs between Indian and Vietnamese populations revealed differences in the BIN structures, explaining the heterogeneity and also the reason for non-replication of the associated genomic region in different populations.",NA,NA,"JUL",2013,9,"7",NA,"10.1371/journal.pgen.1003578",NA,"journal.pgen.1003578"
"1994",1994,"J","Doza, JP; Topf, A; Bentham, J; Bhattacharya, S; Cosgrove, C; Brook, JD; Granados-Riveron, J; Bu'Lock, FA; O'Sullivan, J; Stuart, AG; Parsons, J; Relton, C; Goodship, J; Henderson, DJ; Keavney, B",NA,NA,NA,"Doza, Julian Palomino; Topf, Ana; Bentham, Jamie; Bhattacharya, Shoumo; Cosgrove, Catherine; Brook, J. David; Granados-Riveron, Javier; Bu'Lock, Frances A.; O'Sullivan, John; Stuart, A. Graham; Parsons, Jonathan; Relton, Caroline; Goodship, Judith; Henderson, Deborah J.; Keavney, Bernard",NA,"","Low-frequency intermediate penetrance variants in the ROCK1 gene predispose to Tetralogy of Fallot","Background: Epidemiological studies indicate a substantial excess familial recurrence of non-syndromic Tetralogy of Fallot (TOF), implicating genetic factors that remain largely unknown. The Rho induced kinase 1 gene (ROCK1) is a key component of the planar cell polarity signalling pathway, which plays an important role in normal cardiac development. The aim of this study was to investigate the role of genetic variation in ROCK1 on the risk of TOF. Results: ROCK1 was sequenced in a discovery cohort of 93 non-syndromic TOF probands to identify rare variants. TagSNPs were selected to capture commoner variation in ROCK1. Novel variants and TagSNPs were genotyped in a discovery cohort of 458 TOF cases and 1331 healthy controls, and positive findings were replicated in a further 209 TOF cases and 1290 healthy controls. Association between genotypes and TOF was assessed using LAMP. A rare SNP (c.807C > T; rs56085230) discovered by sequencing was associated with TOF risk (p = 0.006) in the discovery cohort. The variant was also significantly associated with the risk of TOF in the replication cohort (p = 0.018). In the combined cohorts the odds ratio for TOF was 2.61 (95% CI 1.58-4.30); p < 0.0001. The minor allele frequency of rs56085230 in the cases was 0.02, and in the controls it was 0.007. The variant accounted for 1% of the population attributable risk (PAR) of TOF. We also found significant association with TOF for an uncommon TagSNP in ROCK1, rs288979 (OR 1.64 [95% CI 1.15-2.30]; p = 1.5x10(-5)). The minor allele frequency of rs288979 in the controls was 0.043, and the variant accounted for 11% of the PAR of TOF. These association signals were independent of each other, providing additional internal validation of our result. Conclusions: Low frequency intermediate penetrance (LFIP) variants in the ROCK1 gene predispose to the risk of TOF.",NA,NA,"JUN 19",2013,14,"",NA,"10.1186/1471-2156-14-57",NA,"1471-2156-14-57"
"2010",2010,"J","Lemay, MA; Henry, P; Lamb, CT; Robson, KM; Russello, MA",NA,NA,NA,"Lemay, Matthew A.; Henry, Philippe; Lamb, Clayton T.; Robson, Kelsey M.; Russello, Michael A.",NA,"","Novel genomic resources for a climate change sensitive mammal: characterization of the American pika transcriptome","Background: When faced with climate change, species must either shift their home range or adapt in situ in order to maintain optimal physiological balance with their environment. The American pika (Ochotona princeps) is a small alpine mammal with limited dispersal capacity and low tolerance for thermal stress. As a result, pikas have become an important system for examining biotic responses to changing climatic conditions. Previous research using amplified fragment length polymorphisms (AFLPs) has revealed evidence for environmental-mediated selection in O. princeps populations distributed along elevation gradients, yet the anonymity of AFLP loci and lack of available genomic resources precluded the identification of associated gene regions. Here, we harnessed next-generation sequencing technology in order to characterize the American pika transcriptome and identify a large suite of single nucleotide polymorphisms (SNPs), which can be used to elucidate elevation-and site-specific patterns of sequence variation. Results: We constructed pooled cDNA libraries of O. princeps from high (1400m) and low (300m) elevation sites along a previously established transect in British Columbia. Transcriptome sequencing using the Roche 454 GS FLX titanium platform generated 780 million base pairs of data, which were assembled into 7,325 high coverage contigs. These contigs were used to identify 24,261 novel SNP loci. Using high resolution melt analysis, we developed 17 of these SNPs into genotyping assays, which were validated with independent DNA samples from British Columbia Canada and Oregon State USA. In addition, we detected haplotypes in the NADH dehydrogenase subunit 5 of the mitochondrial genome that were fixed and different among elevations, suggesting that this may be an informative target gene for studying the role of cellular respiration in local adaptation. We also identified contigs that were unique to each elevation, including a high elevation-specific contig that was a positive match with the hemoglobin alpha chain from the plateau pika, a species restricted to high elevation steppes in Asia. Elevation-specific contigs may represent candidate regions subject to differential levels of gene expression along this elevation gradient. Conclusions: To our knowledge, this is the first broad-scale, transcriptome-level study conducted within the Ochotonidae, providing novel genomic resources for studying pika ecology, behaviour and population history.",NA,NA,"MAY 10",2013,14,"",NA,"10.1186/1471-2164-14-311",NA,"1471-2164-14-311"
